0, 0.499954, -0.0100001, 1, 0.00999994, 0.99995, 0.00500007, -1, 0.00499985, 0.500004, 
26.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
26.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
27.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
28.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
29.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
30.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
